"year","month","total_uploads","creator"
"2021","1",19,"Hannah Stocking"
"2022","1",8,"Hannah Stocking"
"2020","2",31,"Hannah Stocking"
"2021","2",27,"Hannah Stocking"
"2022","2",3,"Hannah Stocking"
"2020","3",43,"Hannah Stocking"
"2021","3",27,"Hannah Stocking"
"2022","3",10,"Hannah Stocking"
"2020","4",56,"Hannah Stocking"
"2021","4",30,"Hannah Stocking"
"2022","4",11,"Hannah Stocking"
"2020","5",53,"Hannah Stocking"
"2021","5",16,"Hannah Stocking"
"2022","5",6,"Hannah Stocking"
"2020","6",36,"Hannah Stocking"
"2021","6",17,"Hannah Stocking"
"2022","6",7,"Hannah Stocking"
"2020","7",40,"Hannah Stocking"
"2021","7",19,"Hannah Stocking"
"2022","7",4,"Hannah Stocking"
"2020","8",43,"Hannah Stocking"
"2021","8",18,"Hannah Stocking"
"2022","8",4,"Hannah Stocking"
"2020","9",19,"Hannah Stocking"
"2021","9",15,"Hannah Stocking"
"2022","9",2,"Hannah Stocking"
"2020","10",7,"Hannah Stocking"
"2021","10",15,"Hannah Stocking"
"2022","10",5,"Hannah Stocking"
"2020","11",15,"Hannah Stocking"
"2021","11",12,"Hannah Stocking"
"2022","11",1,"Hannah Stocking"
"2020","12",12,"Hannah Stocking"
"2021","12",8,"Hannah Stocking"
"2022","12",3,"Hannah Stocking"
